agent,state_id,severity,call_type,traffic,hosp_load,time_of_day,best_action,q_values
Ambulance,0,Low,Cardiac,Clear,Normal,Night,4,"[0.006, 6.731, 7.249, 7.943, 70.024]"
Ambulance,1,Low,Cardiac,Clear,Normal,Morning,3,"[-0.171, 0.166, 2.318, 68.951, 0.0]"
Ambulance,2,Low,Cardiac,Clear,Normal,Afternoon,4,"[3.574, 6.801, 0.0, 0.992, 70.041]"
Ambulance,3,Low,Cardiac,Clear,Normal,Evening,3,"[4.106, 0.0, 1.409, 74.901, 1.092]"
Ambulance,4,Low,Cardiac,Clear,Normal,Late-Night,1,"[0.931, 71.922, 0.053, 6.352, 0.0]"
Ambulance,5,Low,Cardiac,Clear,Busy,Night,0,"[69.787, 0.154, 4.511, 1.869, 0.413]"
Ambulance,6,Low,Cardiac,Clear,Busy,Morning,3,"[-0.436, 0.0, 0.0, 51.757, 0.0]"
Ambulance,7,Low,Cardiac,Clear,Busy,Afternoon,3,"[7.513, 0.0, -0.045, 70.882, 0.0]"
Ambulance,8,Low,Cardiac,Clear,Busy,Evening,3,"[0.0, 0.0, 0.0, 30.938, -0.796]"
Ambulance,9,Low,Cardiac,Clear,Busy,Late-Night,4,"[-0.163, 4.492, 0.0, 0.0, 70.966]"
Ambulance,10,Low,Cardiac,Clear,Diversion,Night,3,"[-0.234, 0.0, 1.695, 57.936, 4.843]"
Ambulance,11,Low,Cardiac,Clear,Diversion,Morning,0,"[24.494, -0.367, 5.198, 0.0, 5.0]"
Ambulance,12,Low,Cardiac,Clear,Diversion,Afternoon,0,"[36.441, 0.0, 0.0, 0.0, 0.0]"
Ambulance,13,Low,Cardiac,Clear,Diversion,Evening,0,"[18.444, 0.0, 0.0, 0.0, 0.0]"
Ambulance,14,Low,Cardiac,Clear,Diversion,Late-Night,1,"[0.257, 47.283, 0.35, 0.0, 6.453]"
Ambulance,15,Low,Cardiac,Moderate,Normal,Night,0,"[57.756, 2.379, 10.11, 0.0, 0.112]"
Ambulance,16,Low,Cardiac,Moderate,Normal,Morning,3,"[5.915, -0.599, 0.251, 83.304, 18.866]"
Ambulance,17,Low,Cardiac,Moderate,Normal,Afternoon,3,"[0.502, 5.769, 0.253, 92.836, 3.576]"
Ambulance,18,Low,Cardiac,Moderate,Normal,Evening,4,"[1.09, 1.274, 0.019, 1.885, 72.597]"
Ambulance,19,Low,Cardiac,Moderate,Normal,Late-Night,3,"[0.437, 3.499, 4.871, 80.585, 1.926]"
Ambulance,20,Low,Cardiac,Moderate,Busy,Night,4,"[0.023, 0.0, -0.465, 0.0, 54.959]"
Ambulance,21,Low,Cardiac,Moderate,Busy,Morning,2,"[3.959, 9.735, 75.438, 11.213, 8.819]"
Ambulance,22,Low,Cardiac,Moderate,Busy,Afternoon,3,"[-0.655, 6.332, -0.259, 82.325, -0.528]"
Ambulance,23,Low,Cardiac,Moderate,Busy,Evening,4,"[1.636, 0.673, 0.0, 0.0, 57.067]"
Ambulance,24,Low,Cardiac,Moderate,Busy,Late-Night,3,"[6.983, 0.0, 0.0, 64.342, 0.0]"
Ambulance,25,Low,Cardiac,Moderate,Diversion,Night,2,"[-0.041, -0.363, 27.273, 0.0, 0.0]"
Ambulance,26,Low,Cardiac,Moderate,Diversion,Morning,2,"[0.0, 1.521, 47.123, 0.0, 0.0]"
Ambulance,27,Low,Cardiac,Moderate,Diversion,Afternoon,4,"[2.235, 0.0, 0.696, 7.642, 50.163]"
Ambulance,28,Low,Cardiac,Moderate,Diversion,Evening,0,"[23.486, 0.0, 0.0, 1.822, 0.655]"
Ambulance,29,Low,Cardiac,Moderate,Diversion,Late-Night,4,"[0.0, 0.0, 0.0, 0.0, 34.493]"
Ambulance,30,Low,Cardiac,Heavy,Normal,Night,4,"[0.0, 0.0, -0.109, 0.0, 23.981]"
Ambulance,31,Low,Cardiac,Heavy,Normal,Morning,1,"[7.128, 90.509, 1.623, 17.435, 4.638]"
Ambulance,32,Low,Cardiac,Heavy,Normal,Afternoon,1,"[0.015, 90.401, 13.558, 2.227, 7.481]"
Ambulance,33,Low,Cardiac,Heavy,Normal,Evening,3,"[8.413, 8.064, 5.13, 82.54, 5.554]"
Ambulance,34,Low,Cardiac,Heavy,Normal,Late-Night,0,"[54.173, 0.0, 0.0, 0.0, 0.0]"
Ambulance,35,Low,Cardiac,Heavy,Busy,Night,3,"[0.0, 0.0, 0.0, 20.949, 4.65]"
Ambulance,36,Low,Cardiac,Heavy,Busy,Morning,1,"[0.035, 76.5, 2.156, 0.0, 7.38]"
Ambulance,37,Low,Cardiac,Heavy,Busy,Afternoon,2,"[-0.32, 1.085, 47.834, 1.08, 0.203]"
Ambulance,38,Low,Cardiac,Heavy,Busy,Evening,3,"[-0.383, 1.515, 6.176, 83.973, 2.381]"
Ambulance,39,Low,Cardiac,Heavy,Busy,Late-Night,4,"[2.257, 0.0, -0.1, 0.0, 33.693]"
Ambulance,40,Low,Cardiac,Heavy,Diversion,Night,0,"[22.928, 0.0, 0.0, 0.0, 0.0]"
Ambulance,41,Low,Cardiac,Heavy,Diversion,Morning,3,"[0.0, 0.0, 0.823, 55.85, 0.0]"
Ambulance,42,Low,Cardiac,Heavy,Diversion,Afternoon,1,"[-0.451, 61.001, 0.0, 0.0, 0.0]"
Ambulance,43,Low,Cardiac,Heavy,Diversion,Evening,3,"[6.778, 1.3, 1.273, 70.818, 2.418]"
Ambulance,44,Low,Cardiac,Heavy,Diversion,Late-Night,3,"[-0.119, 0.0, 0.0, 19.832, 0.0]"
Ambulance,45,Low,Cardiac,Gridlock,Normal,Night,0,"[30.311, 0.0, 0.0, 0.0, 0.0]"
Ambulance,46,Low,Cardiac,Gridlock,Normal,Morning,3,"[5.174, 10.096, 0.557, 72.319, 2.442]"
Ambulance,47,Low,Cardiac,Gridlock,Normal,Afternoon,3,"[0.0, 0.0, 0.0, 59.472, -0.149]"
Ambulance,48,Low,Cardiac,Gridlock,Normal,Evening,3,"[4.712, 1.764, 2.333, 84.425, -0.201]"
Ambulance,49,Low,Cardiac,Gridlock,Normal,Late-Night,1,"[-0.008, 54.87, 0.0, 1.104, 0.0]"
Ambulance,50,Low,Cardiac,Gridlock,Busy,Night,0,"[8.932, 0.0, 0.0, 0.0, 0.0]"
Ambulance,51,Low,Cardiac,Gridlock,Busy,Morning,2,"[0.0, 4.092, 59.313, 0.0, 0.0]"
Ambulance,52,Low,Cardiac,Gridlock,Busy,Afternoon,2,"[-0.34, 0.0, 37.273, 0.0, 0.0]"
Ambulance,53,Low,Cardiac,Gridlock,Busy,Evening,1,"[5.187, 79.411, 6.002, 0.0, 1.318]"
Ambulance,54,Low,Cardiac,Gridlock,Busy,Late-Night,3,"[0.0, 0.0, 0.0, 43.132, 0.0]"
Ambulance,55,Low,Cardiac,Gridlock,Diversion,Night,4,"[0.0, 0.0, 0.0, 0.0, 7.175]"
Ambulance,56,Low,Cardiac,Gridlock,Diversion,Morning,4,"[0.493, 0.0, 6.256, 0.725, 37.575]"
Ambulance,57,Low,Cardiac,Gridlock,Diversion,Afternoon,0,"[33.256, 0.0, 0.0, 0.0, 0.0]"
Ambulance,58,Low,Cardiac,Gridlock,Diversion,Evening,0,"[34.683, 0.0, 0.0, 0.0, 0.0]"
