episode,total_reward,avg_response_min,icu_surge_count,diversions,triage_accuracy,epsilon
1,17.54,1.45,11,12,30.0,0.997
2,248.46,1.5,7,5,20.0,0.994
3,232.45,1.46,9,6,30.0,0.991
4,122.44,1.34,8,7,10.0,0.9881
5,223.56,1.46,14,12,20.0,0.9851
6,252.76,1.43,8,7,22.0,0.9821
7,-26.0,1.48,9,11,8.0,0.9792
8,253.88,1.38,11,8,12.0,0.9763
9,102.34,1.45,16,9,22.0,0.9733
10,114.4,1.44,9,15,16.0,0.9704
11,-37.35,1.56,5,8,14.0,0.9675
12,256.3,1.6,10,10,28.0,0.9646
13,399.67,1.52,11,13,24.0,0.9617
14,142.5,1.36,4,9,30.0,0.9588
15,149.91,1.49,9,10,20.0,0.9559
16,25.28,1.37,7,8,20.0,0.9531
17,560.34,1.55,10,12,30.0,0.9502
18,166.04,1.53,10,10,30.0,0.9474
19,139.72,1.54,7,10,20.0,0.9445
20,393.05,1.67,13,14,26.0,0.9417
21,298.4,1.6,10,8,28.0,0.9389
22,556.66,1.53,11,13,24.0,0.936
23,232.99,1.68,7,12,36.0,0.9332
24,173.44,1.5,12,9,22.0,0.9304
25,341.9,1.49,12,9,34.0,0.9276
26,173.86,1.54,7,9,18.0,0.9249
27,368.84,1.4,9,9,30.0,0.9221
28,435.69,1.5,11,6,26.0,0.9193
29,226.69,1.52,7,7,22.0,0.9166
30,389.97,1.51,8,3,26.0,0.9138
31,364.77,1.57,9,12,34.0,0.9111
32,238.16,1.34,8,10,26.0,0.9083
33,354.99,1.53,9,6,22.0,0.9056
34,424.29,1.42,12,12,26.0,0.9029
35,533.17,1.54,8,5,20.0,0.9002
36,519.43,1.61,5,8,22.0,0.8975
37,323.14,1.47,11,5,22.0,0.8948
38,678.62,1.44,10,9,36.0,0.8921
39,496.24,1.53,11,11,22.0,0.8894
40,280.42,1.58,9,11,30.0,0.8868
41,525.95,1.49,11,11,32.0,0.8841
42,346.23,1.49,13,10,18.0,0.8814
43,359.31,1.45,5,9,26.0,0.8788
44,644.72,1.56,12,6,28.0,0.8762
45,400.69,1.33,11,7,28.0,0.8735
46,500.81,1.38,8,9,18.0,0.8709
47,512.31,1.73,5,7,28.0,0.8683
48,634.81,1.46,10,11,24.0,0.8657
49,590.63,1.52,7,9,20.0,0.8631
50,362.16,1.61,7,9,26.0,0.8605
51,880.07,1.56,8,6,46.0,0.8579
52,517.46,1.41,11,7,32.0,0.8554
53,530.52,1.4,9,9,22.0,0.8528
54,479.49,1.53,5,6,38.0,0.8502
55,189.19,1.54,7,7,18.0,0.8477
56,549.09,1.57,8,10,20.0,0.8451
57,575.15,1.55,12,10,30.0,0.8426
58,554.52,1.57,8,11,16.0,0.8401
59,697.59,1.54,6,8,32.0,0.8376
60,390.04,1.62,11,9,24.0,0.835
61,675.23,1.67,9,11,36.0,0.8325
62,662.78,1.47,7,13,24.0,0.83
63,799.05,1.56,9,7,34.0,0.8276
64,602.55,1.44,5,6,16.0,0.8251
65,869.89,1.43,8,8,44.0,0.8226
66,599.69,1.46,14,9,26.0,0.8201
67,837.11,1.46,15,3,26.0,0.8177
68,566.44,1.51,11,10,26.0,0.8152
69,911.15,1.42,3,11,38.0,0.8128
70,514.24,1.52,12,7,36.0,0.8103
71,624.73,1.46,6,9,20.0,0.8079
72,835.88,1.46,8,6,30.0,0.8055
73,479.39,1.5,8,11,30.0,0.8031
74,474.56,1.54,8,11,24.0,0.8006
75,710.44,1.42,10,7,52.0,0.7982
76,913.93,1.58,9,6,46.0,0.7959
77,675.7,1.55,9,9,36.0,0.7935
78,672.3,1.4,10,8,34.0,0.7911
79,639.42,1.34,11,7,30.0,0.7887
80,831.97,1.51,5,12,40.0,0.7863
81,896.46,1.65,5,7,42.0,0.784
82,707.39,1.54,10,7,38.0,0.7816
83,877.95,1.55,8,7,36.0,0.7793
84,578.03,1.57,9,7,34.0,0.777
85,911.25,1.63,10,11,36.0,0.7746
86,718.59,1.43,8,10,32.0,0.7723
87,736.49,1.54,5,10,20.0,0.77
88,566.4,1.59,7,3,28.0,0.7677
89,815.51,1.45,13,8,36.0,0.7654
90,787.53,1.63,7,7,30.0,0.7631
91,855.61,1.42,11,14,34.0,0.7608
92,810.23,1.52,11,6,38.0,0.7585
93,643.86,1.49,10,8,34.0,0.7562
94,789.63,1.49,9,12,24.0,0.754
95,1323.08,1.37,6,10,54.0,0.7517
96,849.54,1.41,8,5,28.0,0.7494
97,819.15,1.54,3,14,30.0,0.7472
98,994.59,1.52,10,7,42.0,0.7449
99,958.23,1.46,10,11,32.0,0.7427
100,1282.22,1.43,6,12,40.0,0.7405
101,874.02,1.58,10,8,34.0,0.7383
102,831.18,1.64,6,8,24.0,0.736
103,864.57,1.37,7,8,32.0,0.7338
104,908.33,1.59,9,7,34.0,0.7316
105,561.1,1.48,10,8,30.0,0.7294
106,953.15,1.4,10,10,38.0,0.7273
107,1014.86,1.48,3,7,48.0,0.7251
108,1042.02,1.57,9,9,36.0,0.7229
109,883.73,1.68,7,9,30.0,0.7207
110,1014.62,1.69,9,10,38.0,0.7186
111,671.29,1.57,7,11,20.0,0.7164
112,1012.45,1.61,6,8,32.0,0.7143
113,799.2,1.42,10,14,40.0,0.7121
114,851.21,1.43,11,11,32.0,0.71
115,896.63,1.47,4,8,54.0,0.7079
116,1062.75,1.54,10,11,30.0,0.7057
117,789.97,1.58,10,7,34.0,0.7036
118,955.85,1.39,9,9,38.0,0.7015
119,815.26,1.32,6,7,38.0,0.6994
120,1010.14,1.54,9,8,32.0,0.6973
121,895.84,1.64,7,8,32.0,0.6952
122,1170.96,1.5,8,13,42.0,0.6931
123,1124.18,1.44,9,8,44.0,0.691
124,758.47,1.37,5,12,34.0,0.689
125,1305.09,1.49,13,17,54.0,0.6869
126,820.9,1.54,14,9,48.0,0.6848
127,935.68,1.45,9,7,44.0,0.6828
128,1156.01,1.39,10,6,52.0,0.6807
129,1178.68,1.58,7,11,36.0,0.6787
130,1110.32,1.57,11,8,42.0,0.6767
131,1221.04,1.56,2,7,44.0,0.6746
132,959.74,1.44,8,9,46.0,0.6726
133,1237.41,1.56,3,9,46.0,0.6706
134,943.93,1.54,8,6,36.0,0.6686
135,930.58,1.62,7,6,46.0,0.6666
